websitekey,source_website
1,https://covid19.who.int/
2,https://shendetesia.gov.al/vaksinimi-anticovid-2754244-vaksinime/
3,https://covid19.gov.ag
4,https://covidstats.com.ar/
5,https://www.government.aw
6,https://covidbaseau.com/
7,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
8,https://koronavirusinfo.az
9,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
10,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
11,https://gisbarbados.gov.bb/blog/covid-19-update-for-monday-march-28/
12,https://epistat.wiv-isp.be/covid/
13,https://github.com/dquintani/vacunacion/
14,https://www.rivm.nl/sites/default/files/2021-09/COVID-19_website_rapport_eilanden_engels_35_20210902_1409.pdf
15,https://coronavirusbra1.github.io
16,https://coronavirus.bg/bg/statistika
17,https://web.facebook.com/MinistryofHealthofCambodia/posts/341471994676237
18,https://covid19tracker.ca/vaccinationtracker.html
19,https://github.com/MinCiencia/Datos-COVID19
20,http://www.nhc.gov.cn/jkj/s7915/202203/d81d339daf694f97952f10d9d8604143.shtml
21,https://docs.google.com/spreadsheets/d/1eblBeozGn1soDGXbOIicwyEDkUqNMzzpJoAKw84TTA4
22,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
23,https://www.ccss.sa.cr/web/coronavirus/vacunacion
24,https://www.koronavirus.hr
25,https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/
26,https://bakuna.cw/
27,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
28,https://onemocneni-aktualne.mzcr.cz/covid-19
29,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata
30,https://vacunate.gob.do/
31,https://github.com/andrab/ecuacovid
32,https://covid19.gob.sv/
33,https://coronavirus.data.gov.uk/details/vaccinations
34,https://guineasalud.org/estadisticas/
35,https://opendata.digilugu.ee
36,https://corona.fo/api
37,https://www.facebook.com/FalkIandsGov/posts/4401230323224594
38,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov
39,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
40,https://africacdc.org/covid-19-vaccination/
41,https://vaccines.ncdc.ge/vaccinationprocess/
42,https://impfdashboard.de/
43,https://twitter.com/GibraltarGov/status/1507008369005015050
44,https://www.data.gov.gr/datasets/mdg_emvolio/
45,https://corona.nun.gl
46,https://covid19.gov.gg/guidance/vaccine/stats
47,https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age
48,https://koronavirus.gov.hu//cikkek/6-millio-402-ezer-beoltott-2906-az-uj-fertozott-es-elhunyt-40-beteg
49,https://www.covid.is/tolulegar-upplysingar-boluefni
50,https://dashboard.cowin.gov.in/
51,https://data.covid19.go.id/public/index.html
52,https://irangov.ir/detail/383414
53,https://covid19ireland-geohive.hub.arcgis.com/
54,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
55,https://datadashboard.health.gov.il/COVID-19/general
56,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv
57,https://vaccination.moh.gov.jm/
58,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
59,https://www.gov.je/Datasets/ListOpenData?ListName=COVID19Weekly&clean=true
60,https://www.coronavirus2020.kz/
61,https://www.health.go.ke/wp-content/uploads/2022/03/MINISTRY-OF-HEALTH-KENYA-COVID-19-IMMUNIZATION-STATUS-REPORT-19TH-MARCH-2022.pdf
62,https://msh.rks-gov.net/sq/statistikat-covid-19/
63,https://vc.emed.gov.kg/
64,https://www.covid19.gov.la/index.php
65,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
66,https://impact.cib.gov.lb/home/dashboard/vaccine
67,https://ncdc.org.ly/Ar
68,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=FL
69,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
70,https://data.public.lu/en/datasets/donnees-covid19/#_
71,https://www.ssm.gov.mo/docs/19164/19164_dd2dfe6b739b4964b394d629e656af72_000_.pdf
72,https://github.com/MoH-Malaysia/covid19-public
73,https://twitter.com/HPA_MV/status/1503053275741913088
74,https://github.com/COVID19-Malta/COVID19-Cases
75,http://www.gob.mx/cms/uploads/attachment/file/712810/2022.03.29_17h00_ComunicadoTecnicoDiario_Covid19__1_.pdf
76,https://vaccinare.gov.md
77,https://en.gouv.mc/Policy-Practice/Social-Affairs-and-Health/News/Minister-of-State-visits-those-working-to-combat-COVID
78,https://ikon.mn/
79,https://www.covidodgovor.me/
80,https://mohs.gov.mm/page/18035
81,https://covid19.mohp.gov.np/situation-report
82,https://github.com/mzelst/covid-19
83,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
84,https://worldhealthorg.shinyapps.io/EURO_COVID-19_vaccine_monitor/
85,https://asi.saglik.gov.ct.tr/
86,https://github.com/folkehelseinstituttet/surveillance_data
87,https://ncoc.gov.pk/covid-vaccination-en.php
88,https://www.datosabiertos.gob.pe/dataset/vacunacion
89,https://news.abs-cbn.com/spotlight/multimedia/infographic/03/23/21/philippines-covid-19-vaccine-tracker
90,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
91,https://github.com/dssg-pt/covid19pt-data
92,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
93,https://datelazi.ro/
94,https://gogov.ru/articles/covid-v-stats
95,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
96,https://web.facebook.com/SVGHEALTH/posts/437021804887233
97,https://vakcinacija.gov.rs/
98,https://data.gov.sg/dataset/covid-19-vaccination
99,https://github.com/Institut-Zdravotnych-Analyz/covid19-data/raw/main/Vaccination/OpenData_Slovakia_Vaccination_AgeGroup_District.csv
100,https://covid-19.sledilnik.org/sl/stats
101,https://sacoronavirus.co.za/latest-vaccine-statistics/
102,https://ncv.kdca.go.kr/
103,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20220325.ods
104,https://www.epid.gov.lk/web/images/pdf/corona_vaccination/covid_vaccination_2022-03_22.pdf
105,https://laatjevaccineren.sr/
106,https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/
107,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=CH
108,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
109,https://ddc.moph.go.th/covid19-dashboard/
110,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query
111,https://web.facebook.com/santetunisie.rns.tn/posts/339797681524034?__cft__[0]=AZUiZe_DZCgQaUfW53dSTtXxKD5Vmq3M4OkNzKUMnMjzyKYqwPgH6EV-do3PCuT4TqokRZFYjLLshZ87APo1I0dbZHgTHn-95N8CB7Crpo5q1AShf3f9AQYWATKZCptNluocUhFJ8tKk3Z4cIg3qRVhQ&__tn__=%2CO%2CP-R
112,https://covid19asi.saglik.gov.tr/
113,https://health-security.rnbo.gov.ua
114,https://fcsc.gov.ae/en-us/Pages/Covid19/UAE-Covid-19-Updates.aspx
115,https://data.cdc.gov/Vaccinations/COVID-19-Vaccination-Trends-in-the-United-States-N/rh2h-3yt2
116,https://monitor.uruguaysevacuna.gub.uy/
117,https://covid19.gov.vn/ngay-23-3-so-mac-moi-covid-19-giam-con-127883-ca-tuyen-quang-bo-sung-gan-13000-f0-171220323181603013.htm
118,https://rtc-planning.maps.arcgis.com/apps/dashboards/3b3a01c1d8444932ba075fb44b119b63
119,https://www.arcgis.com/home/webmap/viewer.html?url=https://services9.arcgis.com/DnERH4rcjw7NU6lv/ArcGIS/rest/services/Vaccine_Distribution_Program/FeatureServer&source=sd
